	cluster	from	from_category	from_cluster	from_network	from_popularity	from_topic	to	to_category	to_cluster	to_network	to_popularity	to_topic	videos	weight
969	5501	UCw1UfxJnp1HVvh_QzSbGkog	News & Politics	"[""5501""]"	BigFrame	3	Music	UCYPsmnuuJ1JRYJi0lc8eqng	People & Blogs	"[""3012"", ""6906""]"	Studio71	3	Lifestyle	"[""H0dT_GVZ-Lw"", ""QzXb6oWy4kQ"", ""bwupVHia03w""]"	3
970	3251	UC7fMcs5gAGgu_ZcT2VBBX2Q	Entertainment	"[""1099"", ""3251""]"	BroadbandTV	3	Lifestyle	UCbvyz6kmUTtJKlBWUwL_yfQ	People & Blogs	"[""1759"", ""7113""]"	None	3	Music	"[""sAwkCeiipf0""]"	1
971	2563	UCLVksusrDN03CJHwciitnmQ	People & Blogs	"[""1031"", ""1417"", ""1505"", ""2563"", ""3207""]"	None	3	Lifestyle	UCBkZWl8s1Cg22Yw11O6A-PQ	Comedy	"[""8133""]"	Maker Studios	2	Music	"[""6t1nz70Qy5Y""]"	1
972	5466	UC3Jn8k0V-cAb120D8oMvv_A	Non-profits & Activism	"[""5466""]"	None	3	Lifestyle	UCV13ZWoYFeUddsMh2BGsvjA	Comedy	"[""704""]"	Fullscreen	3	Lifestyle	"[""7Q7EuYqDCak""]"	1
973	5154	UCY2JbItcod5aclsDCrgdo6g	Entertainment	"[""1209"", ""4378"", ""5154""]"	None	3	Lifestyle	UCEjK33MAsRdSNlNfCRHARvQ	Education	"[""930"", ""1373""]"	BroadbandTV	3	Music	"[""EBIgDjQSvUg""]"	1
974	5379	UCM_neI2uMrv5211Y2HoHOPg	Education	"[""5379""]"	Maker Studios	2	Role-playing video game	UCyCd7_a5O3JQJlBFmkgx-dg	Comedy	"[""8504""]"	Maker Studios	1	None	"[""RgLrmUEkoC0""]"	1
975	6481	UCW40qDd6XnCXN2yHKnKK-Jg	Comedy	"[""3011"", ""6481""]"	PranksNetwork	3	Entertainment	UCAB0PedPoUCYsvTAg_Mxd7w	Entertainment	"[""589"", ""2594"", ""3103"", ""4436""]"	PranksNetwork	3	Entertainment	"[""Bt2bWNwREoU"", ""LGVSyz1zVwE"", ""NTFb1iAlcdc"", ""T2BAKiLwnx0"", ""Wi0oWHZQciw""]"	5
976	6481	UCW40qDd6XnCXN2yHKnKK-Jg	Comedy	"[""3011"", ""6481""]"	PranksNetwork	3	Entertainment	UCOEYO2x_UJLXRUyoYQJ178A	Entertainment	""""""	PranksNetwork	4	Entertainment	"[""4d4qmKXvsfs"", ""7uUrgQsjR5Q"", ""NCAk97W4gi4"", ""TsJiJmesn5k"", ""sNdUL-ZPDlU"", ""vjibmmMPljY"", ""xBliAgjADDA""]"	7
977	7590	UCj8yfKUOzxgPzSqDDkFEQhw	Gaming	"[""7590"", ""8386""]"	2btube	1	Football	UCIBJsqvWBJrSdSQ17aZQp0Q	Entertainment	"[""6732""]"	Freedom!	1	Gaming	"[""y8wN4USQI0Y""]"	1
978	4345	UCx0x2_DpGMO0mSQwWPFSwCw	Science & Technology	"[""4345""]"	Maker Studios	2	Technology	UCpeJ5_1dzVxAPMehXCXL19A	Science & Technology	"[""7108""]"	None	2	Technology	"[""LClqOMlLvtA""]"	1
979	5257	UCJZ7f6NQzGKZnFXzFW9y9UQ	Entertainment	"[""3902"", ""4031"", ""5257"", ""5443"", ""7637"", ""8346"", ""10053"", ""10104""]"	Maker Studios	4	Lifestyle	UCU8fJPOQqMyLCprylcE5T0A	People & Blogs	"[""5860"", ""5861""]"	Maker Studios	3	Lifestyle	"[""-fuK77M-SJI"", ""1ekUXRpMnnA"", ""6Z4DQKPeKnY"", ""9tHTX2UnxvI"", ""ZfF0PzOQm2E"", ""kCKKzigrj74"", ""nCHH_w4_GYI""]"	7
980	10053	UCJZ7f6NQzGKZnFXzFW9y9UQ	Entertainment	"[""3902"", ""4031"", ""5257"", ""5443"", ""7637"", ""8346"", ""10053"", ""10104""]"	Maker Studios	4	Lifestyle	UCK6BU1IJ_UV5AlxTDQvwoag	People & Blogs	"[""149"", ""4438"", ""13132""]"	Maker Studios	3	Lifestyle	"[""qennlFfdubQ""]"	1
981	7637	UCJZ7f6NQzGKZnFXzFW9y9UQ	Entertainment	"[""3902"", ""4031"", ""5257"", ""5443"", ""7637"", ""8346"", ""10053"", ""10104""]"	Maker Studios	4	Lifestyle	UCplwPnjH1AAB1He_7rMkHgQ	Entertainment	"[""7598""]"	BroadbandTV	4	TV shows	"[""TBYGuSbeXXs""]"	1
982	10104	UCJZ7f6NQzGKZnFXzFW9y9UQ	Entertainment	"[""3902"", ""4031"", ""5257"", ""5443"", ""7637"", ""8346"", ""10053"", ""10104""]"	Maker Studios	4	Lifestyle	UCAUTncHmFWaaNo91xg4As3g	Science & Technology	"[""4767""]"	DDNPartners	4	Sports	"[""1eNnRb_2_hI"", ""pcEg9aUa5js""]"	2
983	5257	UCJZ7f6NQzGKZnFXzFW9y9UQ	Entertainment	"[""3902"", ""4031"", ""5257"", ""5443"", ""7637"", ""8346"", ""10053"", ""10104""]"	Maker Studios	4	Lifestyle	UCSss9IQskc990Ach6Pcl0Cw	How-to & Style	""""""	Maker Studios	3	Fitness	"[""9gX-J6UG0Lk""]"	1
984	5257	UCJZ7f6NQzGKZnFXzFW9y9UQ	Entertainment	"[""3902"", ""4031"", ""5257"", ""5443"", ""7637"", ""8346"", ""10053"", ""10104""]"	Maker Studios	4	Lifestyle	UCIZSqPHF-R9m3X5o0VPKFdg	Entertainment	""""""	BroadbandTV	3	Music	"[""X6FFgZgjOGg""]"	1
985	5257	UCJZ7f6NQzGKZnFXzFW9y9UQ	Entertainment	"[""3902"", ""4031"", ""5257"", ""5443"", ""7637"", ""8346"", ""10053"", ""10104""]"	Maker Studios	4	Lifestyle	UC-NINtNMPM75eaqh07RCy_Q	Education	"[""5975"", ""7556""]"	BroadbandTV	3	Lifestyle	"[""V5TFqXiFzY4"", ""ZCUN53HB7-Q""]"	2
986	1966	UCmRY4NSGK52lP_Lz11CjdYw	How-to & Style	"[""1966""]"	None	2	Fashion	UCwaNuezahYT3BOjfXsne2mg	Comedy	"[""3749""]"	Maker Studios	3	Music	"[""7ME1lkuBnCk"", ""Lxou-ZB8JE0"", ""zTjSYxqdvEM""]"	3
987	1966	UCmRY4NSGK52lP_Lz11CjdYw	How-to & Style	"[""1966""]"	None	2	Fashion	UCGyuI1F-x984sntQLqKpCGQ	Comedy	"[""5519"", ""5631"", ""6310""]"	FamousID	3	Music	"[""VS_gvIE3Qmo""]"	1
988	883	UCTtwqNrasC7AnTsl4YcB4Fw	How-to & Style	"[""883"", ""1300""]"	Mixicom	3	Lifestyle	UC3yQ_C-mLj5SZL8OXub8Y7A	Comedy	""""""	Studio71	2	Electronic music	"[""Oyuqv_VNb7w""]"	1
989	7585	UCv2SYcLXHrZw4BuF0DG3b1g	Entertainment	"[""4054"", ""5983"", ""7585""]"	None	2	Hobby	UCLq_SYAsBOAHmWE6CoGzaTw	Entertainment	"[""2872"", ""5982""]"	BroadbandTV	3	Hobby	"[""1RVNkb4el4U"", ""7oJIjmYzxyY"", ""EylPL5QS-Do"", ""HJzD9k1oamY"", ""O4VWdmCdMl4"", ""PNAsYDD13DM"", ""SUgTDbN9Ua4"", ""U9UGC7GshYM"", ""_2kxsazgv-8"", ""fRbDhdtb0Vw"", ""jvwQBEVgqtA""]"	11
990	7585	UCv2SYcLXHrZw4BuF0DG3b1g	Entertainment	"[""4054"", ""5983"", ""7585""]"	None	2	Hobby	UCgA4WnFvrRwu2vIJo9yojQQ	Entertainment	"[""791"", ""3757"", ""3980""]"	Fullscreen	2	Hobby	"[""1bYbrsNdWl8"", ""5GMWyBZZhjM"", ""7Fi8OyDQt5w"", ""IAUoZSYc8bM"", ""kQn7AbVo71U"", ""lfar-d2M02E"", ""rTxVtTFBXCc"", ""wGcKn9EiKKw""]"	8
991	1863	UCvFyPrPVotqsTlqxUmAOYRw	People & Blogs	"[""1863""]"	Maker Studios	4	Lifestyle	UCgtgMd3z_Boj_QABLbLlabw	People & Blogs	"[""6529""]"	None	2	Food	"[""1EHPwaoINwQ"", ""6MKs1gdrM4Q""]"	2
992	1863	UCvFyPrPVotqsTlqxUmAOYRw	People & Blogs	"[""1863""]"	Maker Studios	4	Lifestyle	UChl-lOZZY2vo_Zho6cfj0uQ	People & Blogs	"[""160""]"	Maker Studios	3	Lifestyle	"[""ClzENBgP4mk"", ""OM7TY1dN6aw"", ""Yswj0L7SAps""]"	3
993	12490	UCKd1OjLzqPNFmDMheIED7Mg	People & Blogs	"[""8906"", ""9899"", ""12490"", ""13837""]"	Maker Studios	3	Hobby	UC1sb-8607_3Qc_JLeIssPzA	Entertainment	""""""	Maker Studios	3	Hobby	"[""Iw-sZyO-Hto""]"	1
994	13837	UCKd1OjLzqPNFmDMheIED7Mg	People & Blogs	"[""8906"", ""9899"", ""12490"", ""13837""]"	Maker Studios	3	Hobby	UCSwZDdGEOY4lwk0rwDfoobQ	Entertainment	"[""2789"", ""3342""]"	TopBeautyBlog	3	Hobby	"[""J2woAR63nJ8""]"	1
995	13837	UCKd1OjLzqPNFmDMheIED7Mg	People & Blogs	"[""8906"", ""9899"", ""12490"", ""13837""]"	Maker Studios	3	Hobby	UCKjjmMqvuxNYw8c6knceexQ	Entertainment	"[""3705"", ""5826""]"	Maker Studios	4	Hobby	"[""O6uZuSbWP-4""]"	1
996	13837	UCKd1OjLzqPNFmDMheIED7Mg	People & Blogs	"[""8906"", ""9899"", ""12490"", ""13837""]"	Maker Studios	3	Hobby	UC44eGZ76AJLHAxPaJ_MW2RA	Education	"[""7482"", ""10575"", ""12550""]"	Maker Studios	4	Hobby	"[""Qn-05RBcEPs""]"	1
997	13837	UCKd1OjLzqPNFmDMheIED7Mg	People & Blogs	"[""8906"", ""9899"", ""12490"", ""13837""]"	Maker Studios	3	Hobby	UC1HMqw-2O2NnmK0Z5-8IzPw	Entertainment	"[""9111"", ""9475"", ""12349"", ""13355""]"	BroadbandTV	3	Hobby	"[""ULPSwfv6h0E""]"	1
998	12490	UCKd1OjLzqPNFmDMheIED7Mg	People & Blogs	"[""8906"", ""9899"", ""12490"", ""13837""]"	Maker Studios	3	Hobby	UCFcMBviRBU-JZz5wlo_TGNA	People & Blogs	"[""3932"", ""3933"", ""8907""]"	Maker Studios	2	Hobby	"[""-Xz2OCBFKZs"", ""0k6coO69jpE"", ""Kb0JwzNCOac"", ""oBjSTxkpxLk"", ""vVLjs78GFy0"", ""vevEImZEwMM"", ""x9QB4B7vj2Y""]"	7
999	3975	UCMc-r8lDh-bbN_bhVz8ySEg	How-to & Style	"[""3975""]"	StyleHaul	4	Lifestyle	UCy-pRSIMMBsp-AZlV4go3vw	Entertainment	"[""595"", ""3461"", ""7996""]"	None	4		"[""pf9wpaxY9sI""]"	1
