	from_network	to_network	nof_collabs
334	TimeWarner	Alloy	1
329	StyleHaul	WhistleSportsFitness	1
336	Toms Hardware	BroadbandTV	1
37	BroadbandTV	Divimove	1
331	TIN	TubeOne	1
67	BroadbandTV	wjoPtSoNLAoX2sLBaKLYng	1
332	TheVerge	Maker Studios	1
333	TheVerge	None	1
69	ChannelFlip Affiliate	Kin Community	1
328	StyleHaul	Tastemade	1
318	StyleHaul	KVZMusicLtd	1
296	Studio71	IDG Germany	1
38	BroadbandTV	Exmge	1
57	BroadbandTV	Social Blade Legacy	1
63	BroadbandTV	Zoomin TV	1
298	Studio71	MagnoliaNetz	1
292	Studio71	Exmge	1
300	Studio71	MusicNations	1
53	BroadbandTV	Ritual Network	1
64	BroadbandTV	nfl	1
66	BroadbandTV	wizdeo	1
303	Studio71	Social Blade Legacy	1
51	BroadbandTV	Paragon	1
50	BroadbandTV	OmniaMediaCo	1
306	Studio71	TEDtalksDirector	1
307	Studio71	TheVerge	1
289	Studio71	DigitalDynastyMedia	1
48	BroadbandTV	Mixicom	1
338	TopBeautyBlog	BroadbandTV	1
44	BroadbandTV	GeekandSundry	1
311	Studio71	alldefdigital	1
43	BroadbandTV	GTchannel	1
313	Studio71	emipub	1
40	BroadbandTV	FranceTelevisions	1
315	Studio71	sylo	1
39	BroadbandTV	FinderStudio A	1
148	Kin Community	Maker Studios	1
345	TubeOne	Maker Studios	1
339	TopBeautyBlog	Fullscreen	1
340	TopBeautyBlog	None	1
374	ingrooves	TubeOne	1
375	itn	None	1
376	melberries	BroadbandTV	1
16	BodyMindZone	BodyMindZone	1
378	nfl	BroadbandTV	1
379	onerpmweb affiliate	Base79 Ent Spain	1
14	BigFrame	None	1
12	BigFrame	BroadbandTV	1
382	onerpmweb affiliate	MagnoliaNetz	1
10	Base79	DevLounge	1
384	onerpmweb affiliate	NSTV Entertainment	1
7	AwesomenessTV	Maker Studios	1
386	onerpmweb affiliate	Studio71	1
387	postgame	GTchannel	1
388	sandboxnetwork	BroadbandTV	1
389	theonion	Fullscreen	1
390	theonion	Maker Studios	1
391	theorchardmusic	Maker Studios	1
392	theorchardmusic	None	1
393	tunesat label	None	1
394	vivarecords	vivacommunications	1
6	Arcane	Fullscreen	1
5	Alloy	TimeWarner	1
398	wizdeo managed	BroadbandTV	1
2	Age of Media	Maker Studios	1
401	wjoPtSoNLAoX2sLBaKLYng	Fullscreen	1
402	wjoPtSoNLAoX2sLBaKLYng	Maker Studios	1
372	emipub	NewHavenAssetManagementLLC	1
371	emipub	BroadbandTV	1
18	BodyMindZone	Fullscreen	1
355	UEFA	audionetwork	1
341	TopBeautyBlog	Zefr SonyPictures	1
342	TopBeautyBlog	theorchardmusic	1
344	TubeOne	ChannelFlip Affiliate	1
71	ChannelFlip Affiliate	None	1
25	BroadbandTV	2btube	1
348	TubeOne	TubeOne	1
349	UCI Affiliate	Fullscreen managed	1
350	UCI Affiliate	Maker Studios	1
351	UCI Affiliate	None	1
352	UCI Affiliate	StyleHaul	1
24	Break	BroadbandTV	1
354	UEFA	BroadbandTV	1
356	Very Us Network Hamburg	Studio71	1
369	e vXdMrHHseZ esYUskSBw	ARD JungesAngebot	1
357	WhistleSportsFitness	BroadbandTV	1
358	WhiteCast	Maker Studios	1
359	WhiteCast	None	1
23	BodyMindZone	vivacommunications	1
361	YouPartnerVSP	BroadbandTV	1
22	BodyMindZone	QuizGroup	1
20	BodyMindZone	Maker Studios	1
364	Zoomin TV	Maker Studios	1
365	Zoomin TV	Studio71	1
366	disney interactive	BroadbandTV	1
19	BodyMindZone	Machinima	1
368	disney interactive	None	1
70	ChannelFlip Affiliate	Maker Studios	1
276	Social Blade Legacy	seedwellcomedy	1
72	ChannelFrederator	BroadbandTV	1
216	None	EndemolEspana	1
186	Maker Studios	UCI Affiliate	1
117	Fullscreen	Awestruck Network	1
188	Maker Studios	disney interactive	1
189	Maker Studios	id0iPcHVVMh4ASTXBUYkOA	1
190	Maker Studios	nfl	1
115	Fullscreen	AgoraPro	1
192	Maker Studios	vivacommunications	1
193	Mitu	2btube	1
114	Fullscreen	AIR	1
113	Freedom!	WWE	1
197	Mixicom	Studio71	1
198	NSTV Entertainment	None	1
199	Nerdist	GeekandSundry	1
111	Freedom!	Mitu	1
201	NewHavenAssetManagementLLC	emipub	1
1	Age of Media	BroadbandTV	1
203	None	Alloy	1
204	None	Amuse Inc	1
205	None	BigFrame	1
110	Freedom!	Maker Studios	1
208	None	ChannelFrederator	1
209	None	ClassicClipsTV	1
210	None	Collab	1
211	None	Creators Revolution	1
212	None	Curse	1
108	Freedom!	Break	1
214	None	Divimove IT affiliated	1
185	Maker Studios	TubeOne	1
184	Maker Studios	TopBeautyBlog	1
118	Fullscreen	Base79	1
165	Maker Studios	DigitalMinds	1
152	Machinima	Endemol beyond Brasil	1
153	Machinima	Machinima	1
145	Kin Community	Fullscreen	1
156	MagnoliaNetz	Maker Studios	1
157	Maker Studios	2btube	1
158	Maker Studios	Age of Media	1
159	Maker Studios	BelieveSAS	1
143	Justforlaughsfestival	Studio71	1
142	Jukin Media	None	1
162	Maker Studios	ChannelFrederator	1
141	Jukin Media	BroadbandTV	1
140	GeekandSundry	ScaleLab	1
139	GeekandSundry	Nerdist	1
121	Fullscreen	DigitalMinds	1
167	Maker Studios	DreamWorksTV	1
135	Fullscreen	theorchardmusic	1
134	Fullscreen	ingrooves	1
171	Maker Studios	Kin Community	1
130	Fullscreen	Social Blade Legacy	1
173	Maker Studios	Mitu	1
174	Maker Studios	Mixicom	1
176	Maker Studios	OmniaMediaCo	1
127	Fullscreen	Nerdist	1
178	Maker Studios	ScaleLab	1
122	Fullscreen	Endemol beyond Brasil	1
180	Maker Studios	SonyBMG	1
215	None	EndemolDE	1
107	FinderStudio A	The District	1
281	Splay	None	1
218	None	FamousID	1
252	OmniaMediaCo	Exmge	1
253	OmniaMediaCo	ScaleLab	1
88	Curse	Studio71	1
255	PranksNetwork	vivacommunications	1
256	Qanawat	BroadbandTV	1
257	Qanawat	Fullscreen	1
258	Qanawat	Qanawat	1
86	Curse	Fullscreen	1
260	ScaleLab	Freedom!	1
261	ScaleLab	Fullscreen	1
262	ScaleLab	Machinima	1
263	ScaleLab	Maker Studios	1
264	ScaleLab	Mitu	1
83	CondeNastMaster	Studio71	1
266	ScaleLab	Rumblefish	1
267	ScaleLab	Studio71	1
269	Social Blade Legacy	BroadbandTV	1
80	Collab	Studio71	1
271	Social Blade Legacy	NSTV Entertainment	1
79	Collab	Maker Studios	1
78	Collab	Jukin Media	1
77	Collab	BroadbandTV	1
275	Social Blade Legacy	avex	1
76	ClassicClipsTV	ScaleLab	1
278	Social Blade Legacy	wjoPtSoNLAoX2sLBaKLYng	1
74	Citizine Affiliate	None	1
73	ChannelFrederator	Collab	1
251	OmniaMediaCo	BroadbandTV	1
89	Curse	YouPartnerVSP	1
249	None	vivacommunications	1
98	Divimove IT affiliated	Maker Studios	1
219	None	Freedom!	1
106	FamilyVideoNetwork	BroadbandTV	1
221	None	Hasbro UGC	1
222	None	Jukin Media	1
224	None	Machinima	1
104	EndemolEspana	ScaleLab	1
103	EndemolEspana	Maker Studios	1
102	EndemolEspana	EndemolEspana	1
101	Endemol beyond Brasil	Maker Studios	1
229	None	ONErpm	1
232	None	RazorAndTie	1
233	None	RecStudios	1
235	None	Social Blade	1
90	DDNPartners	Maker Studios	1
97	Divimove	Studio71	1
96	Divimove	Maker Studios	1
95	Divimove	Alloy	1
239	None	TheVerge	1
240	None	TopBeautyBlog	1
94	DigitalDynastyMedia	None	1
242	None	UCI Affiliate	1
243	None	UEFA	1
244	None	UniversalMC	1
92	DaIW2zPRWhzQ9Hj7a0QP1w	AIR	1
246	None	id1o1f%2Bcvp	1
247	None	lacapula	1
0	2btube	Freedom!	1
